iter	Passed	Remaining
0	145	145107
1	146	73144
2	147	49114
3	148	37056
4	149	29822
5	150	24995
6	151	21530
7	152	18929
8	153	16896
9	154	15284
10	155	13981
11	156	12915
12	157	11981
13	158	11177
14	159	10487
15	160	9878
16	161	9338
17	162	8853
18	163	8418
19	163	8034
20	164	7684
21	165	7370
22	166	7081
23	167	6812
24	168	6583
25	169	6365
26	170	6157
27	171	5961
28	172	5778
29	173	5605
30	174	5448
31	175	5295
32	175	5152
33	176	5019
34	177	4891
35	178	4771
36	178	4656
37	179	4549
38	180	4448
39	181	4350
40	182	4259
41	182	4169
42	183	4084
43	184	4004
44	185	3928
45	185	3857
46	186	3788
47	187	3724
48	188	3663
49	189	3601
50	190	3540
51	191	3483
52	191	3428
53	192	3376
54	193	3326
55	194	3278
56	195	3230
57	196	3184
58	196	3140
59	197	3096
60	198	3054
61	199	3015
62	200	2981
63	201	2946
64	202	2911
65	203	2876
66	204	2842
67	204	2804
68	205	2771
69	206	2737
70	206	2706
71	207	2676
72	208	2646
73	209	2618
74	212	2623
75	217	2649
76	223	2673
77	227	2689
78	232	2709
79	236	2721
80	240	2732
81	244	2738
82	249	2754
83	254	2775
84	257	2771
85	262	2790
86	265	2787
87	270	2800
88	274	2807
89	279	2825
90	284	2844
91	288	2850
92	293	2861
93	297	2871
94	302	2884
95	313	2948
96	324	3022
97	329	3032
98	334	3043
99	342	3085
100	349	3107
101	352	3103
102	358	3125
103	364	3144
104	372	3178
105	377	3183
106	381	3186
107	387	3200
108	391	3201
109	396	3205
110	400	3209
111	405	3211
112	409	3214
113	413	3212
114	417	3214
115	420	3205
116	425	3208
117	429	3208
118	432	3203
119	437	3210
120	442	3214
121	447	3222
122	450	3211
123	455	3214
124	459	3219
125	464	3219
126	468	3221
127	471	3211
128	475	3211
129	479	3209
130	483	3210
131	488	3213
132	493	3218
133	498	3220
134	502	3217
135	506	3215
136	510	3215
137	514	3215
138	519	3219
139	523	3217
140	528	3220
141	533	3223
142	537	3221
143	543	3229
144	550	3246
145	555	3250
146	560	3250
147	564	3251
148	569	3252
149	574	3253
150	578	3252
151	582	3249
152	586	3248
153	591	3247
154	595	3247
155	600	3247
156	604	3245
157	608	3243
158	612	3239
159	616	3238
160	621	3241
161	626	3242
162	630	3240
163	636	3245
164	641	3246
165	646	3250
166	652	3253
167	657	3254
168	662	3256
169	667	3256
170	671	3255
171	675	3251
172	680	3252
173	688	3266
174	695	3278
175	711	3331
176	721	3354
177	731	3379
178	737	3381
179	750	3419
